kode,nama,kab,alamat,TELEPON,pemilik,kelas
1171110,RS Umum Daerah Meuraxa,Kota Banda Aceh,"Jl. Soekarno Hatta Km. 2 Desa Mibo Kecamatan Banda Raya -
Kota Banda Aceh  
Propinsi Aceh",0651-43097,Pemkot,B
1111029,RS Zahra,Aceh Utara,"Jl. Medan-Banda Aceh, KM 303, Meunasah Reudeup, Kec Lhoksukon, Kab. Aceh Utara, Prov Aceh",085262632222,SWASTA/LAINNYA,D
1173003,RS Umum Ummi Langsa,Kota Langsa,"Jl. Prof. Majid Ibrahim No.10 A Kelurahan. Gp Sungai Pauh Kecamatan Langsa Barat  Kota Langsa, Aceh",0641-22886,SWASTA/LAINNYA,D
1104013,RS Ibu dan Anak Keluarga Desa,Aceh Tenggara,Jl. Iskandar Muda No. 58 Kutacane,081349607591,SWASTA/LAINNYA,C
1117027,RS Ibu dan Anak Azalia,Bener Meriah,Jl. Empun Bayak Kampung Bale Atu  Kec. Bukit,082262154630,Perorangan,C
1110102,RS Umum Telaga Bunda,Bireuen,"Jl. Peutua Banta 7, Gampong Bireuen Meunasah Blang",0644-324433,Organisasi Sosial,D
1110053,RS Arun Lhokseumawe,Kota Lhokseumawe,"Jl. Plaju Komplek Perumahan PT Arun Batuphat Timur, Kecamatan Muara Satu, Kota Lhokseumawe, Provinsi Aceh",0645653165,SWASTA/LAINNYA,C
1117025,RS Umum Daerah Muyang Kute Redelong Bener Meriah,Bener Meriah,"Jln Simpang Teritit - Pondok Baru, Simpang Empat Kute Kering Redelong Kec. Bukit Kab. Bener Meriah Provinsi Aceh",085373971547,Pemkab,C
1101015,RS Umum Daerah Simeulue,Simeulue,"Jl. Teuku Raja Mahmud Desa Amiria Bahagia,  Kecamatan Simeulue Timur,  Kabupaten Simeulue,  Provinsi Aceh",(0650)8001070,Pemkab,C
1102027,RS Umum Daerah Kota Subulussalam,Kota Subulussalam,  Jl. Hamzah Fansyuri (Subulussalam-Rundeng) Kec. Simpang Kiri Kota Subulussalam Aceh 24782,(0627)31700,Pemkot,C
1103021,RS Cahaya Sehat,Aceh Selatan,"Jl. Panglima Raja Lelo, No. 10, Gampong Hilir, Kec. Tapaktuan, Kab. Aceh Selatan, Prov. Aceh",082276174554,Kementerian Lain,D
1106013,RS Umum Daerah Datu Beru Takengon,Aceh Tengah,Jl. Rumah Sakit No.153 Kec. Kebayakan ,0643-21126,Pemkab,B
1171143,RS Bhayangkara Banda Aceh,Kota Banda Aceh,"Jl. Cut Nyak Dhien No. 23, Lamteumen Barat Banda Aceh",0651-41470,POLRI,C
1109031,RS Islam Ibnu Sina Sigli,Pidie,"Jl Lingkar Keunire no 21-24, Gampong Cot",85277112772,SWASTA/LAINNYA,D
1171146,RS Ibu dan Anak Cempaka Az Zahra Banda Aceh,Kota Banda Aceh,"Jl. Syiah Kuala No. 88, Bandar Baru, Kec. Kuta Alam, Kota Banda Aceh, Provinsi Aceh",0651-31066,Perusahaan,C
1103010,RS Umum Daerah Dr. H. Yulidin Away,Aceh Selatan,Jl. T. Ben Mahmud Nomor 86 A Tapaktuan,0656-21013,Pemkab,B
1109042,RS Umum Harapan Ibu,Pidie,"Jalan Kembang Ranjong  - Teupin Raya, Desa Gampong Sagoe No 7 Kec. Glumpang Baro Kab. Pidie. Provinsi Aceh",08116888084,SWASTA/LAINNYA,D
1110075,RS Umum Daerah Dr. Fauziah Bireun,Bireuen,Jl. Mayjen T. Hamzah Bendahara No. 13 Bireuen,0644-21228,Pemkab,B
1171026,RS Tk. II Iskandar Muda Banda Aceh,Kota Banda Aceh,"Jl. T. Hamzah Bendahara No. 1 Kel. Kuta Alam, Kec. Kuta Alam ",65124712,TNI AD,B
1171161,RS Umum Cempaka Lima,Kota Banda Aceh,"Jl. Politeknik No 23 Dusun Meunasah Dayah, Lr B, Gp.Beurawe, Kecamatan Kuta Alam, Banda Aceh",0852 6030 5178,Perusahaan,C
1171162,RS Khusus Bedah Sehat Selamat Sejahtera,Kota Banda Aceh,"Jl. Inspeksi Krueng Aceh, No. 99, Desa Pangoe Deah",081265585050_,Perorangan,C
1174024,RS Umum Az-Zuhra,Kota Lhokseumawe,"Jl. Pasar. Impres No.2 LK. IV Desa Kuta Blang  Kec. Banda Sakti, Kota Lhokseumawe, Aceh 24352",082361302941,Perusahaan,D
1108015,RS Umum Daerah Kabupaten Aceh Besar,Aceh Besar,"Jl. Banda Aceh-Medan  Km.25 desa Sinyeu, Kecamatan Indrapuri, Kabupaten Aceh Besar, Provinsi Aceh",0651-8070165,Pemkab,C
1172031,RS AL Sabang,Kota Sabang,"Jl. T. Chik Ditiro, kelurahan Kota Atas,kecamatan sukakarya, kota Sabang, provinsi Aceh",0652-21302,TNI AL,D
1118012,RS Umum Daerah Pidie Jaya,Pidie Jaya,Jl. Banda Aceh - Medan Gp.Dayah Timu  KM. 158 Meureudu ,0653-8003067,Pemkab,B
1107017,RS Tk. IV IM 07.02,Aceh Barat,Jl. Pocut Baren Ujung Karang Desa Suak Indrapuri Kec. Johan Pahlawan Meulaboh Aceh Barat,082171848478,TNI AD,D
1173012,RS Umum Daerah Langsa,Kota Langsa,"Jl. Jend. Ahmad Yani No.1, Gampong Jawa, Kec. Langsa Kota, Kota Langsa, Provinsi Aceh.",0641-22051,Pemkot,B
1174100,RS Tk. IV Lhokseumawe Aceh Utara,Kota Lhokseumawe,Jl. Samudra No.53A Kp Jawa Kec. Banda Sakti  Kota Lhokseumawe ,0645-40300,TNI AD,C
1171085,RS Umum Malahayati,Kota Banda Aceh,Jl. Cut Nyak Dhien No. 498 Banda Aceh,0651- 41517,Organisasi Sosial,D
1171145,RS Umum Meutia,Kota Banda Aceh,Jl. Cut Meutia No. 55,082268292278,SWASTA/LAINNYA,D
1109027,RS Umum Daerah TGK. Abdullah Syafii Beureuneun,Pidie,"Jl. Banda Aceh - Medan Km. 125,5 Kota Mini  Beureunuen Kec. Mutiara Timur Kab. Pidie Provinsi Aceh",+6282277000117,Pemkab,C
1105067,RS Umum Daerah Sultan Abdul Aziz Syah Peureulak,Aceh Timur,Jl. Monisa No.1 Desa Lhok Dalam Kecamatan Peureulak Kabupaten Aceh Timur Provinsi Aceh,081376999052,Pemkab,C
1109029,RS Umum Citra Husada,Pidie,"Jl. Prof. A. Majid Ibrahim 
Kelurahan Lampeudeu Baroh
Kecamatan  Pidie. 
Kabupaten Pidie.
Provinsi Aceh.",0653-7829679,Perusahaan,D
1107015,RS Umum Montella,Aceh Barat,"Jl. Beringin jaya ,  kel.  seunubok
Kec. Johan pahlawan , 
kabupaten aceh barat,  Aceh 23611",085277999012,SWASTA/LAINNYA,D
1105034,RS Umum Pertamina Rantau,Aceh Tamiang,Jl. Cepu No 1 Komplek Pertamina Rantau Aceh Tamiang,0641 - 350185,BUMN,D
1113012,RS Umum Muhammad Ali Kasim,Gayo Lues,"Jl. Pangur, Desa Pangur, Kecamatan Dabun Gelang",0642-21633,Pemkab,C
1171106,RS Umum Teungku Fakinah,Kota Banda Aceh,Jl. Jend. Sudirman 27-29 Banda Aceh,41454,Organisasi Sosial,C
1108028,RS Hermina Aceh,Aceh Besar,"Jl. Soekarno Hatta,  Kec. Ingin Jaya",081364764664,SWASTA/LAINNYA,D
1110104,RS Umum Jeumpa Hospital,Bireuen,"Jl. B.Aceh - Medan, Km 220 No 102 Dsn.Teratai, Desa Geulanggang Baro, Kecamatan Kota Juang",0644 324150,SWASTA/LAINNYA,C
1110103,RS Umum Avicenna,Bireuen,"Jln. Laksamana Malahayati/Kuala Raja No.1 Lhok Awe Teungoh, Kecamatan Kota Juang, Kabupaten Bireuen, Provinsi Aceh, 24252",(0644) 22887,SWASTA/LAINNYA,D
1171147,RS Pendidikan Universitas Syiah Kuala,Kota Banda Aceh,"Jl. Lingkar Kampus USK, Kopelma Darussalam, Kota Banda Aceh",08116819755,Kementerian Lain,D
1110027,RS Umum Malahayati,Bireuen,"Jl. Medan - Banda Aceh No.100 M, Meunasah Blang - Bireuen",0644-21394,Organisasi Sosial,D
1115012,RS Umum Daerah Sultan Iskandar Muda Nagan Raya,Nagan Raya,"Jl. Nasional Meulaboh-Tapak Tuan KM. 28,5 Ujung Patihah Kabupaten Nagan Raya",0655-7141059,Pemkab,C
1107016,RS Umum Harapan Sehat,Aceh Barat,"Jl. Sisingamangaraja, Dusun III, Desa Gampa,
Kecamatan Johan Pahlawan, Kabupaten Aceh Barat.
Provinsi Aceh",085260859947,SWASTA/LAINNYA,D
1173056,RS Ibu dan Anak Ummi Langsa,Kota Langsa,Jl. A. Yani Dusun Pendidikan Kel. Birem Puntong Kec. Langsa Baro,082277047875_,SWASTA/LAINNYA,C
1105056,RS Umum Daerah dr. Zubir Mahmud,Aceh Timur,Jl. Banda Aceh - Medan Km. 372 Desa Seuneubok Barat Kecamatan Idi Timur Kabupaten Aceh Timur Provinsi Aceh,0646-21139,Pemkab,B
1171121,RS Ibu dan Anak Pemerintah Aceh,Kota Banda Aceh,Jl. Prof. A. Madjid Ibrahim I No. 3 Punge Jurong Kec. Meuraxa Kota Banda Aceh Provinsi Aceh,0651-637796,Pemprop,B
1111006,RS Umum Daerah dr. Muchtar Hasbi,Aceh Utara,Jl. Medan Banda Aceh Alue Mudem Landing Lhoksukon,,Pemkab,D PRATAMA
