No.,Kode RS,Nama Rumah Sakit,Jenis RS,Kelas RS,Pemilik,TotalRanjang
1,9105005,RS Bhayangkara Lodewijk Mandatjan,RSU,D,POLRI,69
2,9105004,RS Pratama Warmare,RSU,D PRATAMA,Pemkab,50
3,9107003,RS Maleo,RSU,D,Swasta,38
4,9107002,RS Kasih Herlina,RSU,D,Perorangan,43
5,9103035,RS Umum Daerah Dr. Alberth H. Torey,RSU,C,Pemkab,136
6,9102034,RS Umum Daerah Kaimana,RSU,D,Pemkab,70
7,9104002,RS Umum Daerah Teluk Bintuni,RSU,C,Pemkab,106
8,9102033,RS AL dr. Azhar Zahir Manokwari,RSU,D,TNI AL,111
9,9102022,RS Tk. IV 18.07.02 J. A. Dimara,RSU,Belum Ditetapkan,TNI AD,22
10,9102011,RS Umum Daerah Manokwari,RSU,C,Pemkab,161
11,9101010,RS Umum Daerah Fakfak,RSU,C,Pemkab,132
12,9111001,RS Umum Elia Waran,RSU,C,Pemkab,33
13,9105006,RS Umum Daerah Provinsi Papua Barat,RSU,C,Pemprov,139
14,9105017,RS Divari Medical Center,RSU,D,Swasta,49
